"","OTU","Sample","Abundance","sample_id","collection_date","Location","sublocation1","sublocation2","distance","distance_bin","sample_type","composition","target_gene","target_subfragment","TKN","NH3","TS","VS","TSS","pH","DO","Kingdom","Phylum"
"209","OTU1382","11Sf",0.003146385589554,"11Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","96",NA,"innertube_sludge","solid","16s","v4",168,37.3,1.4,1,2.12,NA,828,"Bacteria","WPS-2"
"73","OTU1028","17Sf",0.00310023045046348,"17Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","132",NA,"innertube_sludge","solid","16s","v4",151,48.5,1.2,1,2.16,NA,804,"Bacteria","ABY1_OD1"
"216","OTU1382","9Lf",0.0029915936219224,"9Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","72",NA,"innertube_sludge","liquid","16s","v4",150,47.6,2.1,1.7,2.48,NA,588,"Bacteria","WPS-2"
"476","OTU406","9Lf",0.0029915936219224,"9Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","72",NA,"innertube_sludge","liquid","16s","v4",150,47.6,2.1,1.7,2.48,NA,588,"Bacteria","WS3"
"1079","OTU893","9Lf",0.0029915936219224,"9Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","72",NA,"innertube_sludge","liquid","16s","v4",150,47.6,2.1,1.7,2.48,NA,588,"Bacteria","Thermi"
"60","OTU1028","10Sf",0.00298284862043251,"10Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","84",NA,"innertube_sludge","solid","16s","v4",78.6,36.5,1.1,0.8,1.8,NA,616.5,"Bacteria","ABY1_OD1"
"198","OTU1382","10Sf",0.00298284862043251,"10Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","84",NA,"innertube_sludge","solid","16s","v4",78.6,36.5,1.1,0.8,1.8,NA,616.5,"Bacteria","WPS-2"
"262","OTU2205","10Sf",0.00298284862043251,"10Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","84",NA,"innertube_sludge","solid","16s","v4",78.6,36.5,1.1,0.8,1.8,NA,616.5,"Bacteria","ZB2"
"851","OTU714","10Sf",0.00298284862043251,"10Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","84",NA,"innertube_sludge","solid","16s","v4",78.6,36.5,1.1,0.8,1.8,NA,616.5,"Bacteria","Lentisphaerae"
"219","OTU1382","17Lf",0.00288358949219989,"17Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","132",NA,"innertube_sludge","liquid","16s","v4",151,48.5,1.2,1,2.16,NA,804,"Bacteria","WPS-2"
"742","OTU582","17Lf",0.00288358949219989,"17Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","132",NA,"innertube_sludge","liquid","16s","v4",151,48.5,1.2,1,2.16,NA,804,"Bacteria","Crenarchaeota"
"52","OTU1007","7Sf",0.00279822033186893,"7Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","48",NA,"innertube_sludge","solid","16s","v4",139,32.3,1.9,1.5,2.12,NA,640.5,"Bacteria","SC4"
"221","OTU1382","7Sf",0.00279822033186893,"7Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","48",NA,"innertube_sludge","solid","16s","v4",139,32.3,1.9,1.5,2.12,NA,640.5,"Bacteria","WPS-2"
"267","OTU2205","7Sf",0.00279822033186893,"7Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","48",NA,"innertube_sludge","solid","16s","v4",139,32.3,1.9,1.5,2.12,NA,640.5,"Bacteria","ZB2"
"922","OTU769","7Sf",0.00279822033186893,"7Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","48",NA,"innertube_sludge","solid","16s","v4",139,32.3,1.9,1.5,2.12,NA,640.5,"Bacteria","Elusimicrobia"
"201","OTU1382","18Sf",0.00273074822501365,"18Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","120",NA,"innertube_sludge","solid","16s","v4",455,55.4,1.9,1.5,2.28,NA,408,"Bacteria","WPS-2"
"733","OTU582","11Lf",0.00264918206503742,"11Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","96",NA,"innertube_sludge","liquid","16s","v4",168,37.3,1.4,1,2.12,NA,828,"Bacteria","Crenarchaeota"
"1012","OTU833","11Lf",0.00264918206503742,"11Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","96",NA,"innertube_sludge","liquid","16s","v4",168,37.3,1.4,1,2.12,NA,828,"Bacteria","OP11"
"210","OTU1382","6Lf",0.00264496035865662,"6Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","36",NA,"innertube_sludge","liquid","16s","v4",110,32.5,1.6,1.2,1.8,NA,91.5,"Bacteria","WPS-2"
"218","OTU1382","16Sf",0.00262924952454404,"16Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","144",NA,"innertube_sludge","solid","16s","v4",378,54.8,1.8,1.5,2.03,NA,724.5,"Bacteria","WPS-2"
"273","OTU2205","16Sf",0.00262924952454404,"16Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","144",NA,"innertube_sludge","solid","16s","v4",378,54.8,1.8,1.5,2.03,NA,724.5,"Bacteria","ZB2"
"29","OTU1007","10Lf",0.00249993750156246,"10Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","84",NA,"innertube_sludge","liquid","16s","v4",78.6,36.5,1.1,0.8,1.8,NA,616.5,"Bacteria","SC4"
"119","OTU1244","10Lf",0.00249993750156246,"10Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","84",NA,"innertube_sludge","liquid","16s","v4",78.6,36.5,1.1,0.8,1.8,NA,616.5,"Bacteria","TM7"
"220","OTU1382","8Sf",0.00244444987655528,"8Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","60",NA,"innertube_sludge","solid","16s","v4",701,72.5,3.6,2.3,3.061,NA,402,"Bacteria","WPS-2"
"278","OTU2205","8Sf",0.00244444987655528,"8Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","60",NA,"innertube_sludge","solid","16s","v4",701,72.5,3.6,2.3,3.061,NA,402,"Bacteria","ZB2"
"51","OTU1007","7Lf",0.00235671191553544,"7Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","48",NA,"innertube_sludge","liquid","16s","v4",139,32.3,1.9,1.5,2.12,NA,640.5,"Bacteria","SC4"
"475","OTU406","7Lf",0.00235671191553544,"7Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","48",NA,"innertube_sludge","liquid","16s","v4",139,32.3,1.9,1.5,2.12,NA,640.5,"Bacteria","WS3"
"739","OTU582","7Lf",0.00235671191553544,"7Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","48",NA,"innertube_sludge","liquid","16s","v4",139,32.3,1.9,1.5,2.12,NA,640.5,"Bacteria","Crenarchaeota"
"263","OTU2205","16Lf",0.00232328512516699,"16Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","144",NA,"innertube_sludge","liquid","16s","v4",378,54.8,1.8,1.5,2.03,NA,724.5,"Bacteria","ZB2"
"1089","OTU893","16Lf",0.00232328512516699,"16Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","144",NA,"innertube_sludge","liquid","16s","v4",378,54.8,1.8,1.5,2.03,NA,724.5,"Bacteria","Thermi"
"255","OTU2205","5Lf",0.00224247090394002,"5Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","24",NA,"innertube_sludge","liquid","16s","v4",49.2,30.7,0.5,0.3,1.5,NA,243,"Bacteria","ZB2"
"1000","OTU813","5Lf",0.00224247090394002,"5Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","24",NA,"innertube_sludge","liquid","16s","v4",49.2,30.7,0.5,0.3,1.5,NA,243,"Bacteria","WS1"
"1092","OTU893","5Lf",0.00224247090394002,"5Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","24",NA,"innertube_sludge","liquid","16s","v4",49.2,30.7,0.5,0.3,1.5,NA,243,"Bacteria","Thermi"
"919","OTU769","4Sf",0.00221572276876717,"4Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","12",NA,"innertube_sludge","solid","16s","v4",74.9,31.9,1.4,0.9,1.6,NA,237,"Bacteria","Elusimicrobia"
"895","OTU732","5Sf",0.00215908109508593,"5Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","24",NA,"innertube_sludge","solid","16s","v4",49.2,30.7,0.5,0.3,1.5,NA,243,"Bacteria","Fibrobacteres"
"176","OTU133","21Lf",0.00210666020624203,"21Lf","11/13/2017","Sewage","MASSTC_ITT","MASSTC_ITT","0",NA,"raw_sewage","liquid","16s","v4",26.4,17.8,NA,NA,2,NA,448.5,"Bacteria","Caldiserica"
"449","OTU406","21Lf",0.00210666020624203,"21Lf","11/13/2017","Sewage","MASSTC_ITT","MASSTC_ITT","0",NA,"raw_sewage","liquid","16s","v4",26.4,17.8,NA,NA,2,NA,448.5,"Bacteria","WS3"
"834","OTU71","21Lf",0.00210666020624203,"21Lf","11/13/2017","Sewage","MASSTC_ITT","MASSTC_ITT","0",NA,"raw_sewage","liquid","16s","v4",26.4,17.8,NA,NA,2,NA,448.5,"Bacteria","GN04"
"202","OTU1382","17Sf",0.00206682030030899,"17Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","132",NA,"innertube_sludge","solid","16s","v4",151,48.5,1.2,1,2.16,NA,804,"Bacteria","WPS-2"
"206","OTU1382","14Sf",0.00200621927976728,"14Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","156",NA,"innertube_sludge","solid","16s","v4",NA,NA,NA,NA,NA,NA,NA,"Bacteria","WPS-2"
"260","OTU2205","19Lf",0.00177160471955497,"19Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","108",NA,"innertube_sludge","liquid","16s","v4",391,54.3,1.9,1.5,1.8,NA,NA,"Bacteria","ZB2"
